name,red,green,blue,red_edge,nir,field,date,class,season,crop,soil,path,binary_class,dataset_type
IMG_0008_,IMG_0008_3_3_0035SET_registered.tif,IMG_0008_2_3_0035SET_registered.tif,IMG_0008_1_3_0035SET_registered.tif,IMG_0008_5_3_0035SET_registered.tif,IMG_0008_4_3_0035SET_registered.tif,Field89,2021-03-25(HELDOUTDATASET),no_blackgrass,mid,winter_wheat,type7,../data/Field89/2021-03-25(HELDOUTDATASET)/no_blackgrass,no_blackgrass,train
IMG_0059_,IMG_0059_3_4_0087SET_registered.tif,IMG_0059_2_4_0087SET_registered.tif,IMG_0059_1_4_0087SET_registered.tif,IMG_0059_5_4_0087SET_registered.tif,IMG_0059_4_4_0087SET_registered.tif,Field109,2021-06-03,no_blackgrass,late,winter_wheat,type7,../data/Field109/2021-06-03/no_blackgrass,no_blackgrass,train
IMG_0031_,IMG_0031_3_2_0154SET_registered.tif,IMG_0031_2_2_0154SET_registered.tif,IMG_0031_1_2_0154SET_registered.tif,IMG_0031_5_2_0154SET_registered.tif,IMG_0031_4_2_0154SET_registered.tif,Field38,2021-03-17,medium_blackgrass,mid,winter_wheat,type7,../data/Field38/2021-03-17/medium_blackgrass,blackgrass,train
IMG_0092_,IMG_0092_3_2_0074SET_registered.tif,IMG_0092_2_2_0074SET_registered.tif,IMG_0092_1_2_0074SET_registered.tif,IMG_0092_5_2_0074SET_registered.tif,IMG_0092_4_2_0074SET_registered.tif,Field64,2021-02-03,no_blackgrass,early,winter_wheat,type7,../data/Field64/2021-02-03/no_blackgrass,no_blackgrass,train
IMG_0044_,IMG_0044_3_3_0119SET_registered.tif,IMG_0044_2_3_0119SET_registered.tif,IMG_0044_1_3_0119SET_registered.tif,IMG_0044_5_3_0119SET_registered.tif,IMG_0044_4_3_0119SET_registered.tif,Field93,2021-04-23,no_blackgrass,springcrop_early,spring_barley,type8,../data/Field93/2021-04-23/no_blackgrass,no_blackgrass,train
IMG_0078_,IMG_0078_3_2_0114SET_registered.tif,IMG_0078_2_2_0114SET_registered.tif,IMG_0078_1_2_0114SET_registered.tif,IMG_0078_5_2_0114SET_registered.tif,IMG_0078_4_2_0114SET_registered.tif,Field25,2021-02-19,medium_blackgrass,mid,winter_wheat,type7,../data/Field25/2021-02-19/medium_blackgrass,blackgrass,train
IMG_0104_,IMG_0104_3_3_0050SET_registered.tif,IMG_0104_2_3_0050SET_registered.tif,IMG_0104_1_3_0050SET_registered.tif,IMG_0104_5_3_0050SET_registered.tif,IMG_0104_4_3_0050SET_registered.tif,Field43,2021-04-15(HELDOUTDATASET),no_blackgrass,mid,winter_wheat,type6,../data/Field43/2021-04-15(HELDOUTDATASET)/no_blackgrass,no_blackgrass,train
IMG_0034_,IMG_0034_3_2_0103SET_registered.tif,IMG_0034_2_2_0103SET_registered.tif,IMG_0034_1_2_0103SET_registered.tif,IMG_0034_5_2_0103SET_registered.tif,IMG_0034_4_2_0103SET_registered.tif,Field23,2021-02-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field23/2021-02-17/dense_blackgrass,blackgrass,train
IMG_0021_,IMG_0021_3_4_0038SET_registered.tif,IMG_0021_2_4_0038SET_registered.tif,IMG_0021_1_4_0038SET_registered.tif,IMG_0021_5_4_0038SET_registered.tif,IMG_0021_4_4_0038SET_registered.tif,Field14,2021-05-19,dense_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/dense_blackgrass,blackgrass,train
IMG_0044_,IMG_0044_3_3_0189SET_registered.tif,IMG_0044_2_3_0189SET_registered.tif,IMG_0044_1_3_0189SET_registered.tif,IMG_0044_5_3_0189SET_registered.tif,IMG_0044_4_3_0189SET_registered.tif,Field81,2021-05-13,medium_blackgrass,late,winter_wheat,type4,../data/Field81/2021-05-13/medium_blackgrass,blackgrass,train
IMG_0084_,IMG_0084_3_0141SET_registered.tif,IMG_0084_2_0142SET_registered.tif,IMG_0084_1_0141SET_registered.tif,IMG_0084_5_0141SET_registered.tif,IMG_0084_4_0141SET_registered.tif,Field12,2020-11-03,dense_blackgrass,early,triticale,type6,../data/Field12/2020-11-03/dense_blackgrass,blackgrass,train
IMG_0044_,IMG_0044_3_3_0061SET_registered.tif,IMG_0044_2_3_0061SET_registered.tif,IMG_0044_1_3_0061SET_registered.tif,IMG_0044_5_3_0061SET_registered.tif,IMG_0044_4_3_0061SET_registered.tif,Field90,2021-04-16,dense_blackgrass,mid,winter_wheat,type7,../data/Field90/2021-04-16/dense_blackgrass,blackgrass,train
IMG_0082_,IMG_0082_3_4_0069SET_registered.tif,IMG_0082_2_4_0069SET_registered.tif,IMG_0082_1_4_0069SET_registered.tif,IMG_0082_5_4_0069SET_registered.tif,IMG_0082_4_4_0069SET_registered.tif,Field71,2021-05-26,medium_blackgrass,late,winter_wheat,type8,../data/Field71/2021-05-26/medium_blackgrass,blackgrass,train
IMG_0019_,IMG_0019_3_0199SET_registered.tif,IMG_0019_2_0199SET_registered.tif,IMG_0019_1_0199SET_registered.tif,IMG_0019_5_0199SET_registered.tif,IMG_0019_4_0199SET_registered.tif,Field35,2020-11-24,no_blackgrass,early,winter_barley,type4,../data/Field35/2020-11-24/no_blackgrass,no_blackgrass,train
IMG_0034_,IMG_0034_3_3_0148SET_registered.tif,IMG_0034_2_3_0148SET_registered.tif,IMG_0034_1_3_0148SET_registered.tif,IMG_0034_5_3_0148SET_registered.tif,IMG_0034_4_3_0148SET_registered.tif,Field95,2021-04-28,medium_blackgrass,springcrop_mid,spring_barley,type8,../data/Field95/2021-04-28/medium_blackgrass,blackgrass,train
IMG_0058_,IMG_0058_3_3_0026SET_registered.tif,IMG_0058_2_3_0026SET_registered.tif,IMG_0058_1_3_0026SET_registered.tif,IMG_0058_5_3_0026SET_registered.tif,IMG_0058_4_3_0026SET_registered.tif,Field86,2021-03-23(HELDOUTDATASET),no_blackgrass,mid,winter_barley,type7,../data/Field86/2021-03-23(HELDOUTDATASET)/no_blackgrass,no_blackgrass,train
IMG_0049_,IMG_0049_3_2_0133SET_registered.tif,IMG_0049_2_2_0133SET_registered.tif,IMG_0049_1_2_0133SET_registered.tif,IMG_0049_5_2_0133SET_registered.tif,IMG_0049_4_2_0133SET_registered.tif,Field78,2021-03-03,medium_blackgrass,mid,winter_barley,type4,../data/Field78/2021-03-03/medium_blackgrass,blackgrass,train
IMG_0064_,IMG_0064_3_3_0186SET_registered.tif,IMG_0064_2_3_0186SET_registered.tif,IMG_0064_1_3_0186SET_registered.tif,IMG_0064_5_3_0186SET_registered.tif,IMG_0064_4_3_0186SET_registered.tif,Field25,2021-05-12,no_blackgrass,late,winter_wheat,type7,../data/Field25/2021-05-12/no_blackgrass,no_blackgrass,train
